id,app,name,applied
1,contenttypes,0001_initial,2023-05-23 15:00:34.575604
2,auth,0001_initial,2023-05-23 15:00:34.608906
3,admin,0001_initial,2023-05-23 15:00:34.630972
4,admin,0002_logentry_remove_auto_add,2023-05-23 15:00:34.656592
5,admin,0003_logentry_add_action_flag_choices,2023-05-23 15:00:34.674284
6,contenttypes,0002_remove_content_type_name,2023-05-23 15:00:34.707465
7,auth,0002_alter_permission_name_max_length,2023-05-23 15:00:34.725191
8,auth,0003_alter_user_email_max_length,2023-05-23 15:00:34.750901
9,auth,0004_alter_user_username_opts,2023-05-23 15:00:34.764989
10,auth,0005_alter_user_last_login_null,2023-05-23 15:00:34.788061
11,auth,0006_require_contenttypes_0002,2023-05-23 15:00:34.793573
12,auth,0007_alter_validators_add_error_messages,2023-05-23 15:00:34.814238
13,auth,0008_alter_user_username_max_length,2023-05-23 15:00:34.839356
14,auth,0009_alter_user_last_name_max_length,2023-05-23 15:00:34.857409
15,auth,0010_alter_group_name_max_length,2023-05-23 15:00:34.878503
16,auth,0011_update_proxy_permissions,2023-05-23 15:00:34.893568
17,auth,0012_alter_user_first_name_max_length,2023-05-23 15:00:34.917527
18,sessions,0001_initial,2023-05-23 15:00:34.931090
19,authtoken,0001_initial,2023-05-23 15:54:14.844427
20,authtoken,0002_auto_20160226_1747,2023-05-23 15:54:14.887686
21,authtoken,0003_tokenproxy,2023-05-23 15:54:14.899237
22,confidiaApi,0001_initial,2023-05-25 12:43:36.458455
23,authtoken,0004_alter_tokenproxy_options,2024-08-22 15:23:23.820881
